id,sentence_id,tag,quote,correction,start,end,annotation_source
26348,1256028,"constr,conj,asp",варить,чтобы сварить,14,15,manual
26353,1256031,asp,помыть,мыть,17,18,manual
26427,1263005,"asp,lex",просмотреть,смотреть,3,4,manual
26518,1267004,"tense,asp,lex",выучат,усваивают,12,13,manual
26528,1267007,"asp,not-clear",создать,создавать,19,20,manual
26549,1267018,asp,ходят,приходят,15,16,manual
26574,1267034,asp,делать,сделать,12,13,manual
26586,1267044,asp,можем,сможем,6,7,manual
26587,1267044,asp,видеть,увидеть,7,8,manual
26615,1267085,"asp,lex",разговаривать,поговорить,6,7,manual
26638,1267099,asp,решать,решить,16,17,manual
26678,1267113,"asp,constr",видеть,увидеть,7,8,manual
26880,1279002,asp,изменяться,измениться,18,19,manual
42977,1283002,asp,рассказывать,рассказать,5,6,manual
42992,1283015,asp,сдать,сдавать,16,17,manual
43001,1283017,"refl,asp",формировать,сформироваться,16,17,manual
42999,1283018,"lex,asp",видеть,посмотреть,2,3,manual
43021,1285005,asp,решить,решать,19,20,manual
43022,1285005,asp,изменить,изменять,22,23,manual
43153,1287001,"asp,lex,not-clear",разделить,добывать,19,20,manual
28916,1287003,asp,обсуждать,обсудить,3,4,manual
43155,1287004,asp,знать,узнать,2,3,manual
43158,1288001,"asp,constr",проучился 3 года,з года учился,50,53,manual
43037,1289016,asp,делать,сделать,3,4,manual
43052,1289031,asp,делать,сделать,7,8,manual
28973,1289033,asp,деланный,сделанный,9,10,manual
29033,1292002,"tense,asp",купит,покупаeт,5,6,manual
43124,1297004,"asp,lex",заметили,видели,4,5,manual
43138,1298002,"asp,lex,refl",набирать,набраться,14,15,manual
2134,1305001,asp,читал,,4,5,manual
34302,1312006,"lex,asp",был,побывал,2,3,manual
34358,1314022,asp,исполнить,исполнять,10,11,manual
34401,1314044,"lex,asp",смирялись,мирились,10,11,manual
32644,1316014,asp,обсуждать,обсудить,3,4,manual
32861,1316110,asp,увеличиваться,увеличиться,10,11,manual
32873,1316131,asp,переводить,перевести,19,20,manual
32665,1320007,asp,бросили,бросали,5,6,manual
32712,1320015,asp,прекращать,прекратить,7,8,manual
39573,1331003,asp,видела,увидела,10,11,manual
39592,1331009,asp,В конце фильма Брусенцов успевает,К концу фильма Брусенцев успел многое сделать,0,5,manual
39593,1331009,asp,так,были так,11,12,manual
39594,1331010,asp,убивает,убил,4,5,manual
39595,1331011,asp,заставляет,заставил,4,5,manual
39596,1331011,asp,бежит на,сбежал на,12,14,manual
39597,1331013,asp,разрешают,разрешили,2,3,manual
39598,1331013,asp,оставляет,оставил,7,8,manual
39600,1331014,"syntax,asp","уходит, конь бросается","уходил, конь бросился",2,6,manual
31853,1336005,"lex,tense,asp",сделают,действовали,19,20,manual
39610,1338006,"lex,par,asp",пережили,выживали,2,3,manual
39651,1338010,asp,умерли,умирал,11,12,manual
39633,1338017,asp,видеть,увидеть,13,14,manual
38821,1341001,asp,защитили,защищали,14,15,manual
38822,1341001,asp,помогли,помогали,26,27,manual
38856,1342010,asp,узнать,знать,7,8,manual
38877,1342010,asp,понимать,понять,1,2,manual
43536,1343067,"asp,constr",реформирования социализма,реформировать социализм,4,6,manual
30163,1347005,asp,расширился,расширялся,5,6,manual
30168,1347007,asp,выростить,расти,24,25,manual
30172,1347007,asp,создать,создавать,25,26,manual
30225,1356006,asp,появилась,являлась,7,8,manual
30228,1356007,asp,явился,являлся,39,40,manual
30231,1356008,asp,стала,стояла,10,11,manual
30272,1357012,asp,учиться,поучиться,7,8,manual
43566,1360020,asp,исполнить,исполнять,11,12,manual
43571,1360023,asp,подверглась,подвергалась,4,5,manual
43593,1360040,"asp,ortho",отстранятся,отстраниться,29,30,manual
43602,1360070,asp,достигать,достигнуть,14,15,manual
43616,1360078,"asp,lex",одолеть,покарять,11,12,manual
43648,1360093,"asp,lex",мотивировать,заставить,5,6,manual
43654,1360099,asp,воспитать,воспитывать,6,7,manual
43655,1360099,asp,помочь,помогать,9,10,manual
43804,1366004,"tense,asp",наступают,наступят,1,2,manual
43879,1366026,"asp,lex",определять,определить,2,3,manual
43936,1366040,asp,возвращаться,вернуться,9,10,manual
43959,1366045,asp,предлагали,предложили,8,9,manual
44431,1371003,asp,формировать,сформировать,9,10,manual
2286,1373013,asp,развить,,16,17,manual
2288,1373013,asp,привлечь,,26,27,manual
44592,1383004,asp,слушать,послушать,3,4,manual
44657,1389005,asp,представлять,представить,17,18,manual
2394,1390004,asp,работать,,2,3,manual
33637,1391007,asp,курить,курят,16,17,manual
33657,1391017,asp,кончается,заканчивается,6,7,manual
33666,1391034,asp,считайте,посчитайте,2,3,manual
33670,1391035,"constr,asp",4 расходится,переходит в,36,38,manual
33672,1391036,asp,прерывать,прервать,6,7,manual
33705,1393013,"asp,morph",будет столкнуться,столкнется,4,6,manual
33706,1393013,"asp,morph",понуждается,будет нуждаться,9,10,manual
33792,1398017,asp,одолеть,преодолеть,31,32,manual
36017,1402016,asp,видеть,увидеть,8,9,manual
33812,1405007,asp,характеризован,характеризуется,9,10,manual
33828,1405017,asp,пропустите,упустите,1,2,manual
35871,1407003,asp,платить,оплатить,12,13,manual
35876,1408001,"asp,agrnum",отразят,отражает,23,24,manual
35887,1408006,"asp,tense",стало,становится,14,15,manual
34630,1411014,asp,помогало,помогло,26,27,manual
34636,1411017,asp,определять,определить,5,6,manual
34637,1411017,asp,предсказывать,предсказать,7,8,manual
34017,1418003,asp,отрезать,резать,6,7,manual
35416,1439010,asp,смотреть,посмотреть,7,8,manual
35428,1443007,asp,понадобиться,понадобится,85,86,manual
35086,1447013,asp,спросить,спрашивать,6,7,manual
44703,1448007,asp,обращалась,стала обращаться,28,29,manual
44713,1449011,asp,продолжал,продолжил,32,33,manual
44976,1451003,asp,распространять,распространить,14,15,manual
45071,1455003,asp,увидели,уже видели,1,2,manual
46039,1462003,asp,тратили,потратили,12,13,manual
46040,1462004,"agrgender,asp",слушал,услышала,5,6,manual
46066,1465006,asp,заинтересовался,интересовался,17,18,manual
47336,1466001,asp,отступать,отступить,16,17,manual
47422,1466001,"asp,not-clear",находить,найти,20,21,manual
47432,1466010,asp,решить,решать,17,18,manual
47522,1468004,"mode,asp",бывает,может быть,9,10,manual
47725,1471011,asp,извлекав,извлекши,10,11,manual
47729,1471012,"lex,asp",резания,разрезания,13,14,manual
47736,1471018,"tense,asp",убирая,убрав,23,24,manual
47744,1471027,asp,ускорять,ускорить,34,35,manual
49743,1474005,"lex,asp",видеть,посмотреть,9,10,manual
49744,1474005,asp,трогать,потрогать,13,14,manual
49747,1474008,asp,платить,заплатить,3,4,manual
49749,1474008,asp,отвечать,ответить,13,14,manual
49757,1474009,"tense,asp",даёт,даст,9,10,manual
49860,1475004,asp,изменились,менялись,14,15,manual
49966,1477019,asp,выражать,выразить,7,8,manual
50137,1486011,"asp,tense",находиться,найдется,8,9,manual
2508,1500003,asp,вооружиться,,13,14,manual
96395,1533020,asp,просмотрела,посмотрела,1,2,manual
96397,1533023,asp,просмотреть,посмотреть,4,5,manual
61296,1566010,asp,прожила,жила,4,5,manual
60651,1577007,"lex,asp",показано,выражается,5,6,manual
60652,1577010,asp,слышала,услышала,3,4,manual
60655,1577011,asp,переучивать,переучиться,14,15,manual
60705,1577015,"lex,asp",обьяснить,рассказывать,5,6,manual
60661,1577016,"asp,constr,miss",слышать,услышать то,1,2,manual
60666,1577020,"asp,transp",почувсвтвую,чувствую,10,11,manual
60667,1577020,asp,сделать,делать,14,15,manual
57271,5665005,asp,поняла,понимала,14,15,manual
103106,5665014,asp,попадём,попадаем,9,10,manual
114779,5667003,asp,Думайте,Подумайте,0,1,manual
79845,5667014,asp,становиться,стать,5,6,manual
123564,5670022,"asp,lex",знаем,"узнаем,",5,6,manual
128710,5672009,asp,решать,решить,12,13,manual
127746,5722004,asp,вернуться,возвращаться,15,16,manual
127798,5722037,"asp,transfer",меняются,изменятся,22,23,manual
128209,5723026,asp,давать,дать,10,11,manual
121182,5728009,asp,выйти,выходить,17,18,manual
130937,5733011,asp,разрывать,разорвать,17,18,manual
122713,5735002,asp,сделать,делать,2,3,manual
37415,5740002,asp,думать,думаю,2,3,manual
37430,5740010,"asp,constr",ездила,приезжала в,5,6,manual
37447,5740021,asp,предложила,предлагала,9,10,manual
37452,5741003,asp,мир,мире,2,3,manual
37499,5743002,asp,соглашалась,согласна,1,2,manual
37513,5743011,"asp,agrcase",поможет   кожи.,помогают коже.,10,13,manual
37542,5745003,asp,поедут,приезжают,11,12,manual
37569,5746007,asp,будим   стать,станем,6,8,manual
37577,5746011,asp,решен,решает,5,6,manual
37651,5748003,asp,привело,приводил,4,5,manual
37771,5749010,asp,закончили,заканчивали,6,7,manual
37798,5750009,asp,"будем   ждать,",ждём,2,5,manual
37741,5751007,asp,сделали,они делают это,8,9,manual
37838,5752011,asp,думаю,"думал, что",3,4,manual
37638,5754019,asp,страдали,страдали бы,20,21,manual
123486,5756021,asp,приводить,привести,4,5,manual
121223,5758003,asp,соглашался,согласился,9,10,manual
121235,5758010,asp,стать,становиться,13,14,manual
118814,5760012,asp,применить,применять,6,7,manual
29922,5799003,"syntax,asp",шла,ходила,1,2,manual
31142,5802004,"syntax,asp",посетела,посещала,1,2,manual
93744,5807002,"syntax,asp",говорить,рассказать,3,4,manual
30513,5810004,"syntax,asp",идти,ходить,23,24,manual
93749,5810004,"syntax,asp",сказать,говорить,12,13,manual
71645,5811008,"syntax,asp",обедать,пообедать,9,10,manual
31637,5820010,"syntax,asp",получил,получал,2,3,manual
33290,5854006,"agrnum,agrpers,asp",идут,выйти,11,12,manual
33034,5873002,asp,сделали,делали,2,3,manual
33040,5873008,asp,ездить,съездить,14,15,manual
33098,5873047,asp,бросал,бросил,1,2,manual
78212,5886005,"syntax,asp",хожу,иду,1,2,manual
57138,5894002,"syntax,asp",скручу,кручу,5,6,manual
57139,5894003,"syntax,asp",скручу,кручу,3,4,manual
117098,5898003,"syntax,asp",позавтракаю,завтракаю,1,2,manual
117168,5911003,"syntax,asp",покупать,купить,12,13,manual
78217,5915007,"syntax,asp",поднимусь,поднимаюсь,11,12,manual
83197,5930002,"syntax,asp",паступать,поступить,2,3,manual
57174,5935001,"syntax,asp",ехать,ездить,3,4,manual
93887,5945008,"syntax,asp",перекроить,перекраивает,2,3,manual
82726,5947003,"syntax,asp",создать,создавать,4,5,manual
82349,5951002,"syntax,asp",видеть,увидеть,2,3,manual
118326,5951004,"syntax,asp",написал,писал,2,3,manual
57211,5951015,"syntax,asp",понимать,понять,6,7,manual
44845,5953002,"syntax,asp",остановилось,останавливалось,3,4,manual
44926,5956005,"syntax,asp",найти,находить,8,9,manual
45219,6281008,"syntax,asp",успею,успеваю,17,18,manual
93988,6281008,"syntax,asp",возвращаться,вернуться,18,19,manual
82271,6294010,"syntax,asp",привыкать,привыкнуть,5,6,manual
39814,6301016,"aux,subst,asp",был,стал,5,6,manual
39816,6301020,"asp,constr,aux","С   августа 1968   г.   Горбачёв   был   вторым,   а   с   апреля 1970   г.","В августе 1968 г. Горбачёв стал вторым, а в апреле 1970 г.",0,15,manual
39999,6301036,asp,осознал,осознавал,2,3,manual
39823,6301047,"asp,lex",Услышав,Узнавая,0,1,manual
39851,6301109,"constr,asp",могла   продолжаться,продолжилась,14,16,manual
48623,6371010,"syntax,asp",идти,ходить,3,4,manual
118609,6373007,"syntax,asp",езжу,еду,2,3,manual
118616,6374007,"syntax,asp",ехать,ездить,11,12,manual
48964,6375007,"syntax,asp",иду,хожу,4,5,manual
118726,6379017,"syntax,asp",ехать,поехать,11,12,manual
49188,6382013,"syntax,asp",готовить,приготовить,5,6,manual
119020,6398008,asp,могу,смогу,4,5,manual
119334,6400006,asp,могу,смогу,4,5,manual
127614,6401004,asp,езжу,съезжу,1,2,manual
127597,6401005,asp,побывать,побыть,4,5,manual
127609,6401009,asp,будет   отвездить,отвезёт,5,7,manual
105516,6409006,asp,открывала,открыла,2,3,manual
53169,6410014,asp,выразить,выражать,14,15,manual
53183,6411009,asp,закончится,заканчивается,1,2,manual
53186,6411012,asp,увидет,видит,7,8,manual
53187,6411014,asp,засмеются,смеются,1,2,manual
53188,6411016,asp,звонили,позвонили,7,8,manual
124828,6414005,asp,поливать,полить,3,4,manual
124849,6414016,asp,шла,пошла,3,4,manual
124850,6414017,asp,засыпала,заснула,1,2,manual
63627,6417007,asp,завтракала,позавтракала,12,13,manual
63630,6417009,asp,отказываться,отказаться,18,19,manual
116208,6419005,asp,прожить,жить,7,8,manual
118677,6419037,asp,устроят,устраивают,13,14,manual
124967,6419043,asp,смог.,мог.,14,16,manual
118718,6419047,asp,приедете,приезжайте,8,9,manual
118719,6419048,asp,умираете,умирайте,2,3,manual
121049,6425001,asp,нравиться,понравиться,32,33,manual
128781,6425004,asp,добавит,добавляет,18,19,manual
128783,6425007,asp,ужинать,поужинать,19,20,manual
124116,6429004,asp,отправляют,отправят,11,12,manual
124078,6429005,asp,начинается,начнется,11,12,manual
124110,6429023,asp,спасаться,спастись,11,12,manual
124111,6429023,asp,могли,смогли,10,11,manual
94077,6517006,"syntax,asp",ездили,поехали,8,9,manual
82018,6517008,"syntax,asp",ездили,поехали,9,10,manual
63460,6552002,asp,менять,поменять,5,6,manual
63515,6557012,asp,вернется,возвращается,1,2,manual
82002,6575001,"syntax,asp",пойду,иду,3,4,manual
81985,6580002,"syntax,asp",принимала,приняла,2,3,manual
81987,6580003,"syntax,asp",завтракала,позавтракала,1,2,manual
81990,6580005,"syntax,asp",ила,пошла,1,2,manual
81992,6580007,"syntax,asp",ила,пошла,2,3,manual
81994,6580007,"syntax,asp",ходила,пришла,6,7,manual
81996,6580008,"syntax,asp",смотрила,посмотрела,1,2,manual
94108,6581001,"syntax,asp",бстабала,встала,3,4,manual
81971,6581002,"syntax,asp",пила,выпила,1,2,manual
81974,6581002,"syntax,asp",чистила,почистила,7,8,manual
62742,6620024,"syntax,asp",можем,сможем,7,8,manual
118899,6621013,"syntax,asp",заплатить,платить,11,12,manual
118901,6621016,"syntax,asp",могу,смогу,2,3,manual
103117,6820004,asp,решить,решать,20,21,manual
57929,6825013,asp,выходил,вышел,26,27,manual
56235,6827001,asp,уходил,ушел,11,12,manual
105618,6832001,"asp,lex",выучить,учить,4,5,manual
63952,6833006,"asp,tense",делюсь,поделился,14,15,manual
56455,6867025,asp,явилась,являлась,7,8,manual
64499,6869019,asp,сломать,ломать,6,7,manual
103133,6872004,asp,заметите,замечаете,7,8,manual
56817,6872006,asp,вернётся,возвращается,4,5,manual
56818,6872008,asp,вернётся,возвращается,4,5,manual
103902,7028005,"tense,asp",говорит,скажет,2,3,manual
103903,7028005,"tense,asp",огорчается,огорчится,17,18,manual
65268,7036012,"morph,asp",увиденным,которых видели,7,8,manual
123102,7038007,asp,помочь,помогать,10,11,manual
122225,7041005,asp,произведем,производим,1,2,manual
124755,7042011,asp,говорится,сказано,9,10,manual
121902,7073001,asp,приняла,принимала,9,10,manual
127574,7079004,asp,делать,сделать,2,3,manual
127592,7079005,asp,делать,сделать,39,40,manual
127578,7079009,asp,помнит,напоминает,8,9,manual
127504,7082009,asp,обежать,обидеть,10,11,manual
121774,7083003,asp,нравится,понравится,34,35,manual
121793,7083003,asp,дать,отдаст,45,46,manual
124359,7087001,asp,сделать,делать,10,11,manual
124370,7087003,asp,взять,брать,18,19,manual
124366,7087008,asp,давать,дать,12,13,manual
127568,7088005,asp,переехать,переезжать,10,11,manual
121688,7090002,asp,вспоминать,вспомнить,8,9,manual
121707,7090005,"tense,asp",позволит,позволяет,11,12,manual
65570,7092003,asp,ценит,оценивает,6,7,manual
65575,7092013,asp,оставили,оставляли,16,17,manual
65577,7092014,asp,похвалили,хвалили,9,10,manual
65578,7092017,asp,увидят,видят,2,3,manual
121794,7116001,asp,выбрать,выбирать,7,8,manual
121796,7116004,asp,обязать,обязывать,4,5,manual
122218,7118005,"refl,asp,transfer",меняло,изменилось,4,5,manual
126362,7119007,asp,почувствовать,чувствовать,10,11,manual
123367,7120005,asp,получить,получать,9,10,manual
123372,7120009,asp,сделать,делать,8,9,manual
126318,7122010,asp,найдем,находим,3,4,manual
123077,7124004,asp,ждать,подождать,7,8,manual
122995,7125006,asp,стареют,состарятся,19,20,manual
117562,7127005,asp,ослабевало,ослабело,12,13,manual
117549,7127011,asp,сделают,делают,6,7,manual
122326,7128003,asp,недооценят,недооценивают,7,8,manual
124784,7426011,asp,могу,смогу,5,6,manual
124806,7426012,asp,пробовать,попробовать,7,8,manual
124787,7426013,asp,буду   принимать,приму,4,6,manual
76216,7872004,asp,сxодить,ходить,7,8,manual
76217,7872006,asp,проводить,провести,6,7,manual
76218,7872006,asp,думать,подумать,15,16,manual
76221,7872008,asp,поедем,едем,15,16,manual
76222,7872008,asp,подышим,дышим,19,20,manual
76231,7873006,asp,вышли,выходили,5,6,manual
76234,7873006,asp,соскучились,скучали,23,24,manual
76348,8287003,"asp,tense",остается,останется,4,5,manual
77497,8306001,"asp,ortho,miss",распределят,распределить,16,17,manual
77499,8306004,asp,остановиться,останавливаться,6,7,manual
78119,8559013,asp,получить,получать,14,15,manual
78123,8559016,"tense,asp",сбывается,сбудется,4,5,manual
78146,8562002,asp,начинал,начал,4,5,manual
78154,8564006,asp,начинаю   узнавать,узнаю,28,30,manual
78567,8595004,"agrgender,asp",интересовала,заинтересовало,2,3,manual
78578,8595011,asp,пополнить,пополнять,1,2,manual
78965,8620002,"asp,tense",осуществляем,осуществим,21,22,manual
78967,8620004,"asp,lex",работаем,начнем работать,10,11,manual
78970,8620008,"asp,tense",осуществляем,осуществим,9,10,manual
78972,8620009,asp,планировала,запланировала,3,4,manual
78976,8620014,asp,защищать,защитить,3,4,manual
78977,8620016,asp,планировала,запланировала,6,7,manual
79346,8629015,asp,совершать,совершить,3,4,manual
87603,8642008,asp,делаю,сделаю,9,10,manual
87605,8642009,asp,раздала,раздавала,6,7,manual
87621,8643014,"asp,morph",полениться,ленятся,9,10,manual
87707,8646010,asp,увидеть,видеть,3,4,manual
87714,8646019,"asp,disc,constr",полюбоваться,должно давать возможность любоваться,16,17,manual
87866,8648010,"asp,constr",посоветуюсь,обсуждаю,4,5,manual
