id,sentence_id,tag,quote,correction,start,end,annotation_source,subcorpus,native,language_background,level,words,sentences
1339,941009,lex,субъектам,,15,16,manual,RULEC,eng,HL,AL,180.0,8.0
1354,952003,lex,конвертированный,,10,11,manual,RULEC,eng,FL,IH,142.0,9.0
1356,961002,syntax,В,,0,1,manual,RULEC,eng,FL,IH,394.0,21.0
1357,961003,lex,темами,,12,13,manual,RULEC,eng,HL,AL,221.0,16.0
1359,961005,gov,перспективы,,5,6,manual,RULEC,eng,HL,IH,314.0,23.0
1366,961009,gov,студентов,,10,11,manual,RULEC,eng,FL,AL,826.0,53.0
1367,961011,syntax,В,,0,1,manual,RULEC,eng,FL,AL,211.0,13.0
1369,961015,lex,преподают,,2,3,manual,RULEC,eng,HL,IH,164.0,12.0
1372,961015,asp,давать,,12,13,manual,RULEC,eng,FL,AL,14.0,1.0
1408,993016,gov,преступление,,12,13,manual,RULEC,eng,FL,IH,107.0,6.0
1410,993019,syntax,и,,4,5,manual,RULEC,eng,HL,IH,58.0,4.0
1411,993021,lex,Этим,,0,1,manual,RULEC,eng,FL,AM,477.0,18.0
1412,993022,syntax,по,,9,10,manual,RULEC,eng,FL,IM,61.0,4.0
1414,993029,gov,Становление,,0,1,manual,RULEC,eng,HL,IH,114.0,8.0
1435,999001,constr,называется,,23,24,manual,RULEC,eng,HL,AL,105.0,7.0
1438,999004,gov,Кавказ,,10,11,manual,RULEC,eng,FL,AL,130.0,14.0
1439,999005,"syntax,ortho",о,,3,4,manual,RULEC,eng,HL,AM,245.0,10.0
1442,999006,gov,перевод,,16,17,manual,RULEC,eng,FL,AM,98.0,6.0
1445,1005002,lex,преполагает,,3,4,manual,RULEC,eng,HL,AH,169.0,12.0
1446,1005004,lex,д,,12,13,manual,RULEC,eng,HL,AM,438.0,21.0
1447,1005006,lex,имеют,,2,3,manual,RULEC,eng,FL,AM,296.0,20.0
1448,1005007,constr,должны бы ,должны ,5,7,manual,RULEC,eng,HL,IH,251.0,10.0
1457,1005009,syntax,горожан,,19,20,manual,RULEC,eng,HL,AL,83.0,8.0
1462,1005013,syntax,временем,,9,10,manual,RULEC,eng,FL,AL,130.0,10.0
1468,1005015,lex,систематично,,2,3,manual,RULEC,eng,FL,AL,106.0,7.0
1471,1005016,gov,воды»,,6,8,manual,RULEC,eng,FL,AM,800.0,33.0
1472,1005016,lex,его,,10,11,manual,RULEC,eng,HL,AM,116.0,6.0
1482,1012006,constr,если глобализация ,глобализация ,5,7,manual,RULEC,eng,HL,AM,182.0,8.0
1486,1012007,"syntax,gov",масштабу,,6,7,manual,RULEC,eng,HL,AM,294.0,19.0
1500,1017001,"ortho,morph",уменщается,,9,10,manual,RULEC,eng,FL,AM,253.0,18.0
1504,1017002,"gov,ortho",пенгвинов,,9,10,manual,RULEC,eng,FL,IM,70.0,4.0
1570,1100009,constr,Ходя,,0,1,manual,RULEC,eng,HL,IH,72.0,4.0
1577,1103004,morph,Деревенные,,0,1,manual,RULEC,eng,FL,AM,391.0,26.0
9769,1238008,"conj,constr",И другое,А также,0,2,manual,HSE,eng,FL,A2,58.0,6.0
