id_x,sentence_id,tag,quote,correction,start,end,annotation_source,subcorpus,native,language_background,level,words,sentences,id_y,text,specific_error
11821,58013,lex,происходят,проходят,15,16,manual,HSE,chi,FL,B1,292.0,6.0,58013,"О сообществе ЛГБТ в России, я знаю, что, хотя есть клубы и происходят разные фестивали, откревеный разговор на официальном уровне о прав человека или вообще жизни в обществе отсутствует.",Lex-VerbChoice
11112,61002,agrcase,распаха,распах,4,5,manual,HSE,chi,FL,B2,202.0,16.0,61002,"Развитие разной промышленности, распаха огромных территорий, ирригация полей, все это, накапливается и добавляет к изменению водного процесса.",Deriv-Form
10324,81001,infl,понятие,в понятиях,21,22,manual,SFEDU,chi,FL,B1,677.0,31.0,81001,"Тезисный план текста: Появляются новые профессии, которые имеют иностранные названия, и это создает проблемы в русском языке и понятие.",Gov-Preposition
10333,81003,"lex,transfer",Есть,Существует,0,1,manual,SFEDU,chi,FL,B1,630.0,36.0,81003,"Есть склонность назвать эти специальности попонятней, используя перевод или объяснения.",Lex-Collocation
10334,81003,lex,склонность,тенденция,1,2,manual,SFEDU,chi,FL,B1,1192.0,64.0,81003,"Есть склонность назвать эти специальности попонятней, используя перевод или объяснения.",Lex-VerbChoice
10335,81003,asp,назвать,называть,2,3,manual,SFEDU,chi,FL,B1,579.0,40.0,81003,"Есть склонность назвать эти специальности попонятней, используя перевод или объяснения.",Asp-Marked -> Unmarked
10326,81005,"gov,agrcase",грамматикой,грамматики,8,9,manual,SFEDU,chi,FL,B1,734.0,38.0,81005,Эти иностранные названия делаются русскими с помощью родной грамматикой.,Gov-Case
10337,81007,lex,сферам,сферам жизни,5,6,manual,SFEDU,chi,FL,B1,453.0,24.0,81007,Эти названия распределены по разным сферам и стилям речи.,Lex-Collocation
8741,277003,constr,президентских кандидатов,кандидатах в президенты,8,10,manual,HSE,chi,FL,A1,99.0,8.0,277003,"Так, же я бы хотела поговорить о президентских кандидатов и, что они думают по поводу итога выборов.",Gov-Case
8745,277005,constr,какая разнится в мнениях между,как различаются мнения,4,9,manual,HSE,chi,FL,A1,57.0,11.0,277005,"Потом можно сравнить, какая разнится в мнениях между россиян и американо- русских.",Constr-ComplexVerb
9417,284026,asp,определить,определять,23,24,manual,HSE,chi,FL,IH,448.0,26.0,284026,"Чтобы более активно использовать язык и быстро реагировать среди говорящих того языка, по моему мнению, нужно тренироваться объяснить сложные ситуации и определить новые слова в том же языке.",Asp-Marked -> Unmarked
10264,287002,"tense,ortho,subst",ишит,будет искать,24,25,manual,HSE,chi,FL,A2,285.0,14.0,287002,"А). Он сказал, что индийский купейц ходил к пророку, который предсказал, что купец будет стать богатым если он неустанно ишит драгоценности.",V-Conj-PersonNum
10272,287007,"gov,prep,misspell",пойске,поиски,7,8,manual,HSE,chi,FL,A2,123.0,13.0,287007,Но только если он идёт безустановленно на пойске драгоценности.,Gov-Case
10341,287009,"lex,idiom",без молодости,старым,3,5,manual,SFEDU,chi,FL,B1,586.0,40.0,287009,"Он вернулся домой без молодости, без здаровья и без надежды.",Lex-Collocation
10342,287010,syntax,он, ,3,4,manual,SFEDU,chi,FL,B1,466.0,29.0,287010,"Купец, пока он ездил вокруг мира, потратил всю надежду, и вернулся домой старым и больным.",Syn-VerbPhrase
10344,287011,"lex,idiom","без молодости,",старым,9,12,manual,SFEDU,chi,FL,B1,536.0,14.0,287011,"Вокруг мира ездил купец, но он вернулся домой без молодости, без здаровья и без надежды.",Lex-Collocation
10346,287015,"syntax,ortho",Почустванный,Почувствовав,0,1,manual,SFEDU,chi,FL,B1,785.0,57.0,287015,"Почустванный жажду, он вошёл в дом и нашёл там старый колодец, покрылись илом.",V-Participle
10347,287015,"syntax,constr,tense",покрылись,покрытый,13,14,manual,SFEDU,chi,FL,B1,317.0,15.0,287015,"Почустванный жажду, он вошёл в дом и нашёл там старый колодец, покрылись илом.",Agr-Participle
10348,287017,agrnum,заилились,заилился,10,11,manual,SFEDU,chi,FL,B1,438.0,25.0,287017,"Но старый колодец, который стоял эти долгие годы, заилились.",Agr-SVPast
10350,287019,"gov,constr",городу,город,3,4,manual,SFEDU,chi,FL,B1,734.0,15.0,287019,"Люди приезжают в городу, чтобы зарабатовать денги и строить лучшюю жизню.",Gov-Case
10354,287019,infl,жизню,жизнь,11,12,manual,SFEDU,chi,FL,B1,463.0,20.0,287019,"Люди приезжают в городу, чтобы зарабатовать денги и строить лучшюю жизню.",Deriv-Form
10870,296121,asp,нейтрализовать,нейтрализовывать,14,15,manual,,chi,FL,B1,289.0,25.0,296121,"Благодаря синтезу оксида азота внутри клетки, бактерии способны смягчать действие лекарственных препаратов и нейтрализовать токсические вещества, входящие в состав антибиотиков.",Asp-Marked -> Unmarked
11091,297004,agrcase,явления,явление,12,13,manual,HSE,chi,FL,A1,115.0,13.0,297004,Автор призывает к далнейшему междициплинарному исследованию компьютерных игр как социального и культурного явления.,Gov-Case
11097,298002,syntax,бывшие,которые были,2,3,manual,HSE,chi,FL,B2,278.0,5.0,298002,"Темы, бывшие запрещенными, стали появляться во многих произведениях изобразительного искусства.",Syn-VerbPhrase
11098,298003,lex,показываться,появляться,4,5,manual,HSE,chi,FL,B1,153.0,13.0,298003,"В особенности, стали показываться работы полимического характера, на темы социальных и политических проблем страны.",Lex-VerbChoice
11107,298006,constr,по названию,под названием,7,9,manual,HSE,chi,FL,B2,130.0,15.0,298006,"Статья Елены Невердовской и Ольги Осиновской, по названию « Андеграунд по-министерски» < link> обсуждает современное искусство России и его проблемы.",Lex-Collocation
11108,298006,lex,обсуждает,обсуждается,16,17,manual,HSE,chi,FL,B1,160.0,19.0,298006,"Статья Елены Невердовской и Ольги Осиновской, по названию « Андеграунд по-министерски» < link> обсуждает современное искусство России и его проблемы.",V-Refl-Form
11109,298006,constr,Статья,В статье,0,1,manual,HSE,chi,FL,A1,42.0,7.0,298006,"Статья Елены Невердовской и Ольги Осиновской, по названию « Андеграунд по-министерски» < link> обсуждает современное искусство России и его проблемы.",Constr-ComplexVerb
11110,298009,lex,состоит,заключается,5,6,manual,HSE,chi,FL,B2,213.0,10.0,298009,Главная проблема нетрадиционного искусства России состоит в неприятии его большей частью публики.,Lex-VerbChoice
11113,298013,deriv,ориенировка,ориентация,12,13,manual,HSE,chi,FL,B1,99.0,7.0,298013,Самым оптимальным опытом продвижения современного искусства на рынок стала его популяризация и ориенировка на социальный аспект.,Deriv-Form
11114,298014,passive,становятся неправильно трактованными,неправильно трактуются,12,15,manual,HSE,chi,FL,B1,86.0,10.0,298014,Но в этом и состоит проблема: многие из современных художественных произведений становятся неправильно трактованными.,V-Refl-Form
11117,298015,lex,в зарубежье,за рубежом,15,17,manual,HSE,chi,FL,A1,73.0,2.0,298015,"Ольга Лопухова работала над повышением статуса альтернативного искусства не только в России, но и в зарубежье.",Lex-Collocation
9802,1050047,"conj,transfer",и,", а",13,14,manual,HSE,chi,FL,NH,66.0,10.0,1050047,"Искусственные литературные и архитектурные термины: сонет, бумага, сода, торс и также шпага.",Lex-Collocation
9810,1316056,conj,и,а,19,20,manual,HSE,chi,FL,NM,140.0,16.0,1316056,"Этот важный документ указывает все основные данные о вас такие как дата рождения, имя, фамилия, отчество и также имена и фамилии матери и отца.",Lex-Collocation
10472,1432001,"conj,lex,constr,transfer",и,,14,15,manual,SFEDU,chi,FL,B1,705.0,34.0,1432001,"В лекции рассматриваются вопросы женского образования, государственного авторитета над образованием, а также и рассматривается проблема борьбы классов.",Syn-VerbPhrase
